% Model:              Hemisphere_vessel - Copy (2).mph
% Version:            COMSOL 5.4.0.295
% Date:               Aug 6 2019, 18:25
% Dimension:          2
% Nodes:              2678
% Expressions:        2
% Description:        Electric field, r component, Electric field, z component
% Length unit:        m
% r                       z                        es.Er (V/m)              es.Ez (V/m)
0.0014391216511779308     0.036340909090963124     15.278014899333433       -411.3523742569561
0                         0.03722727272727276      -0.016262566538898682    -431.724313252473
0.03127976949458838       0.008162819813239899     45.67198175380264        -101.2849911562475
0.03269575434709579       0.007183422508042887     44.745015197693895       -96.92260862760808
0.0014391216510634425     0.03811363636384745      17.468905322704433       -451.53234331800985
0                         0.039000000000000035     -0.01997195989118457     -474.8904724946672
0.0014391216506344916     0.039886363637170096     20.06967635030105        -497.57868526907123
0                         0.04077272727272731      -0.024702972968346632    -524.4939671153625
0.032861634380648735      0.008893080281621972     47.834026686909574       -99.89619171441028
0.034299291804851396      0.007946030935530472     46.78722050806283        -95.5675551242742
0.0014391216490691212     0.04165909091209671      23.175546321180793       -550.6085547104511
0                         0.042545454545454574     -0.03078881519134787     -581.7875826136338
